No,Blok,Nama,NIM,Prodi,Fakultas,Tahun,Institusi,Gelar,Nomor Seri,Judul Skripsi,Hash
1,1,BUDI WIBOWO,22/588856/MP/98424,FISIKA,FAKULTAS MIPA,2026,UNIVERSITAS GADJAH MADA,S.Stat.,UGM/2026/0001,IDENTIFIKASI SENYAWA AKTIF DARI EKSTRAK TANAMAN HERBAL,ff29f5da4baa126724cc9a0e45b84abfc337b407be18c8e15c359241e2851c07
2,2,IWAN NURHALIZA,22/504091/HK/69304,ILMU HUKUM,FAKULTAS HUKUM,2026,UNIVERSITAS GADJAH MADA,S.H.,UGM/2026/0002,PERLINDUNGAN HUKUM TERHADAP DATA PRIBADI DI ERA DIGITAL,355bb0d0383f4ed1b696871c27d41efda7acaa4ba85d91fd50b2e597f33d1184
3,3,TEGUH SETIAWAN,22/531472/KP/25332,PENDIDIKAN MATEMATIKA,FAKULTAS KEGURUAN & ILMU PENDIDIKAN,2026,UNIVERSITAS GADJAH MADA,S.Pd.,UGM/2026/0003,PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS AUGMENTED REALITY,9e20fe01108cabc07cf77deee276c1de33ca1cc83b8ff05f8acf1bc4ce5405e3
4,4,RUDI FITRIANI,21/504146/SP/18267,HUBUNGAN INTERNASIONAL,FAKULTAS ILMU SOSIAL & POLITIK,2025,UNIVERSITAS GADJAH MADA,S.Sos.,UGM/2025/0004,ANALISIS KEBIJAKAN PUBLIK PADA ERA DESENTRALISASI,4dd264c5e4cc962c1575b099c54f94ebbe3fa9f68d9005d5da515dca95572b59
5,5,RIZKI PERMATA,22/245741/KP/37674,PENDIDIKAN BAHASA INGGRIS,FAKULTAS KEGURUAN & ILMU PENDIDIKAN,2026,UNIVERSITAS GADJAH MADA,S.Pd.,UGM/2026/0005,ANALISIS KESULITAN BELAJAR SISWA DALAM MEMBACA PEMAHAMAN,a8b6e896f7877dbbe25d4a8bafc5035392af369ed0ff1da7fad17502a19add99
6,6,BELLA SANTOSO,22/178662/EB/96008,AKUNTANSI,FAKULTAS EKONOMI & BISNIS,2026,UNIVERSITAS GADJAH MADA,S.E.,UGM/2026/0006,ANALISIS FAKTOR-FAKTOR YANG MEMPENGARUHI LOYALITAS PELANGGAN,5ef3b198b08c92a322ec882e7b2cce7e27fcfbdc33cbb29479b5fa5c6b736076
7,7,PUTRI SURYANI,22/784708/KP/79575,PENDIDIKAN GURU SEKOLAH DASAR,FAKULTAS KEGURUAN & ILMU PENDIDIKAN,2026,UNIVERSITAS GADJAH MADA,S.Pd.,UGM/2026/0007,ANALISIS KESULITAN BELAJAR SISWA DALAM MEMBACA PEMAHAMAN,5386832a9e75551fb2f6eb851af2809a375754cdb1239db998f39b5a5533fc04
8,8,EKO PERMATA,21/415494/KG/64538,KEPERAWATAN,FAKULTAS KEDOKTERAN,2025,UNIVERSITAS GADJAH MADA,S.Farm.,UGM/2025/0008,EFEKTIVITAS VAKSINASI TERHADAP PENURUNAN ANGKA KESAKITAN,e774e6e8ccd1049fe2943348534ff1e593d01af76e1a3122b763ba0b63f37bdb
9,9,WISNU KUSUMA,22/312383/PS/17264,PSIKOLOGI,FAKULTAS PSIKOLOGI,2026,UNIVERSITAS GADJAH MADA,S.Psi.,UGM/2026/0009,PERAN DUKUNGAN SOSIAL DALAM MENGHADAPI QUARTER LIFE CRISIS,40b0a7e3ed3e2c2d23a1fe3016edba71351f15f9e2fa275e0f5a882a72cf8f2a
10,10,HENDRA SURYANI,22/618220/PS/18465,PSIKOLOGI,FAKULTAS PSIKOLOGI,2026,UNIVERSITAS GADJAH MADA,S.Psi.,UGM/2026/0010,PENGARUH MINDFULNESS TERHADAP TINGKAT KECEMASAN REMAJA,0ca0353d5eb4816c0fb49c7f37bc1314224d651c43ac8fcb5d6a6765441bcae6
11,11,YUSUF KUSUMA,21/519224/PT/10187,PETERNAKAN,FAKULTAS PERTANIAN,2025,UNIVERSITAS GADJAH MADA,S.Pt.,UGM/2025/0011,ANALISIS RANTAI PASOK KOMODITAS KOPI DI YOGYAKARTA,f6d976557a21ab56000941c9df3914fab0ce3d4a1448e9e94448f822f82e30c0
12,12,MEGA MARLINA,21/239713/KP/91467,PENDIDIKAN MATEMATIKA,FAKULTAS KEGURUAN & ILMU PENDIDIKAN,2025,UNIVERSITAS GADJAH MADA,S.Pd.,UGM/2025/0012,ANALISIS KESULITAN BELAJAR SISWA DALAM MEMBACA PEMAHAMAN,56e564ed72ed2b0bf83244036301e721d98e5aeb362db1daea8d4622cd164cba
13,13,CINTA SANTOSO,22/734329/MP/41151,MATEMATIKA,FAKULTAS MIPA,2026,UNIVERSITAS GADJAH MADA,S.Si.,UGM/2026/0013,KLASIFIKASI CITRA MEDIS MENGGUNAKAN CONVOLUTIONAL NEURAL NETWORK,fb9f531349c3acc6ec5fb01ba294261b98e53a4a7e2517da756160a15963528e
14,14,RONI NURHALIZA,17/144373/SP/17578,HUBUNGAN INTERNASIONAL,FAKULTAS ILMU SOSIAL & POLITIK,2021,UNIVERSITAS GADJAH MADA,S.IP.,UGM/2021/0014,ANALISIS KEBIJAKAN PUBLIK PADA ERA DESENTRALISASI,920bf86ff4f59aa3a88a8d96a525d05ad8969c1119dc077ebf8bf56f476c3082
15,15,HENDRA NUGROHO,21/581997/EB/62475,ILMU EKONOMI,FAKULTAS EKONOMI & BISNIS,2025,UNIVERSITAS GADJAH MADA,S.Ak.,UGM/2025/0015,ANALISIS EFISIENSI PASAR MODAL INDONESIA PERIODE 2020-2025,e51cb6a1c8c88da1d1b2ad00be77215c3c9fbf9b52d0e4573b047e10f6cfe90f
16,16,LILIS FITRIANI,20/380578/TK/86613,TEKNIK INFORMATIKA,FAKULTAS TEKNIK,2024,UNIVERSITAS GADJAH MADA,S.T.,UGM/2024/0016,SISTEM INFORMASI AKADEMIK BERBASIS WEB DENGAN FRAMEWORK DJANGO,42309247f7d6fa3cf368f3124c058309bcc87dbd73a3a59b030f014696b95f7d
